"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"CA006158355","TORONTO CITY, ON CA","2002-06-04","0.19",,,"57","48"
"CA006158355","TORONTO CITY, ON CA","2002-06-05","0.13",,,"74","52"
"CA006158355","TORONTO CITY, ON CA","2002-06-06","0.00",,,"64","55"
"CA006158355","TORONTO CITY, ON CA","2002-06-07","0.00",,,"71","52"
"CA006158355","TORONTO CITY, ON CA","2002-06-08","0.00",,,"77","53"
"CA006158355","TORONTO CITY, ON CA","2002-06-09","0.00",,,"83","64"
"CA006158355","TORONTO CITY, ON CA","2002-06-10","0.00",,,"72","61"
"CA006158355","TORONTO CITY, ON CA","2002-06-11","0.09",,,"88","60"
"CA006158355","TORONTO CITY, ON CA","2002-06-12","0.02",,,"72","58"
"CA006158355","TORONTO CITY, ON CA","2002-06-13","0.01",,,"74","59"
"CA006158355","TORONTO CITY, ON CA","2002-06-14","0.15",,,"67","57"
"CA006158355","TORONTO CITY, ON CA","2002-06-15","0.35",,,"68","58"
"CA006158355","TORONTO CITY, ON CA","2002-06-16","0.13",,,"66","56"
"CA006158355","TORONTO CITY, ON CA","2002-06-17","0.01",,,"68","55"
"CA006158355","TORONTO CITY, ON CA","2002-06-18","0.00",,,"74","53"
"CA006158355","TORONTO CITY, ON CA","2002-06-19","0.00",,,"75","57"
"CA006158355","TORONTO CITY, ON CA","2002-06-20","0.00",,,"83","60"
"CA006158355","TORONTO CITY, ON CA","2002-06-21","0.57",,,"86","65"
"CA006158355","TORONTO CITY, ON CA","2002-06-22","0.00",,,"82","66"
"CA006158355","TORONTO CITY, ON CA","2002-06-23","0.00",,,"92","65"
"CA006158355","TORONTO CITY, ON CA","2002-06-24","0.00",,,"75","62"
"CA006158355","TORONTO CITY, ON CA","2002-06-25","0.00",,,"85","62"
"CA006158355","TORONTO CITY, ON CA","2002-06-26","0.12",,,"87","70"
"CA006158355","TORONTO CITY, ON CA","2002-06-27","0.13",,,"82","67"
"CA006158355","TORONTO CITY, ON CA","2002-06-28","0.00",,,"83","65"
"CA006158355","TORONTO CITY, ON CA","2002-06-29","0.00",,,"85","64"
"CA006158355","TORONTO CITY, ON CA","2002-06-30","0.00",,,"89","68"
"CA006158355","TORONTO CITY, ON CA","2002-07-01","0.00",,,"92","71"
"CA006158355","TORONTO CITY, ON CA","2002-07-02","0.00",,,"95","77"
"CA006158355","TORONTO CITY, ON CA","2002-07-03","0.00",,,"94","77"
"CA006158355","TORONTO CITY, ON CA","2002-07-04","0.00",,,"90","67"
"CA006158355","TORONTO CITY, ON CA","2002-07-05","0.00",,,"78","61"
"CA006158355","TORONTO CITY, ON CA","2002-07-06","0.00",,,"82","63"
"CA006158355","TORONTO CITY, ON CA","2002-07-07","0.00",,,"85","61"
"CA006158355","TORONTO CITY, ON CA","2002-07-08","0.00",,,"90","69"
"CA006158355","TORONTO CITY, ON CA","2002-07-09","0.17",,,"85","68"
"CA006158355","TORONTO CITY, ON CA","2002-07-10","0.00",,,"75","60"
"CA006158355","TORONTO CITY, ON CA","2002-07-11","0.00",,,"77","57"
"CA006158355","TORONTO CITY, ON CA","2002-07-12","0.00",,,"83","58"
"CA006158355","TORONTO CITY, ON CA","2002-07-13","0.00",,,"85","59"
"CA006158355","TORONTO CITY, ON CA","2002-07-14","0.00",,,"90","64"
"CA006158355","TORONTO CITY, ON CA","2002-07-15","0.00",,,"88","72"
"CA006158355","TORONTO CITY, ON CA","2002-07-16","0.00",,,"88","67"
"CA006158355","TORONTO CITY, ON CA","2002-07-17","0.00",,,"94","75"
"CA006158355","TORONTO CITY, ON CA","2002-07-18","1.06",,,"81","69"
"CA006158355","TORONTO CITY, ON CA","2002-07-19","0.00",,,"82","68"
"CA006158355","TORONTO CITY, ON CA","2002-07-20","0.00",,,"82","66"
"CA006158355","TORONTO CITY, ON CA","2002-07-21","0.76",,,"85","67"
"CA006158355","TORONTO CITY, ON CA","2002-07-22","0.61",,,"91","73"
"CA006158355","TORONTO CITY, ON CA","2002-07-23","0.14",,,"76","63"
"CA006158355","TORONTO CITY, ON CA","2002-07-24","0.00",,,"74","61"
"CA006158355","TORONTO CITY, ON CA","2002-07-25","0.00",,,"74","61"
"CA006158355","TORONTO CITY, ON CA","2002-07-26","0.20",,,"80","68"
"CA006158355","TORONTO CITY, ON CA","2002-07-27","0.01",,,"84","66"
"CA006158355","TORONTO CITY, ON CA","2002-07-28","0.33",,,"90","70"
"CA006158355","TORONTO CITY, ON CA","2002-07-29","0.07",,,"88","71"
"CA006158355","TORONTO CITY, ON CA","2002-07-30","0.00",,,"89","71"
"CA006158355","TORONTO CITY, ON CA","2002-07-31","0.00",,,"88","72"
"CA006158355","TORONTO CITY, ON CA","2002-08-01","0.00",,,"94","74"
"CA006158355","TORONTO CITY, ON CA","2002-08-02","0.00",,,"87","69"
"CA006158355","TORONTO CITY, ON CA","2002-08-03","0.00",,,"83","65"
"CA006158355","TORONTO CITY, ON CA","2002-08-04","0.00",,,"84","67"
"CA006158355","TORONTO CITY, ON CA","2002-08-05","0.00",,,"84","64"
"CA006158355","TORONTO CITY, ON CA","2002-08-06","0.00",,,"73","57"
"CA006158355","TORONTO CITY, ON CA","2002-08-07","0.00",,,"77","57"
"CA006158355","TORONTO CITY, ON CA","2002-08-08","0.00",,,"78","59"
"CA006158355","TORONTO CITY, ON CA","2002-08-09","0.00",,,"82","61"
"CA006158355","TORONTO CITY, ON CA","2002-08-10","0.00",,,"87","61"
"CA006158355","TORONTO CITY, ON CA","2002-08-11","0.00",,,"90","67"
"CA006158355","TORONTO CITY, ON CA","2002-08-12","0.00",,,"92","72"
"CA006158355","TORONTO CITY, ON CA","2002-08-13","0.00",,,"91","73"
"CA006158355","TORONTO CITY, ON CA","2002-08-14","0.06",,,"86","72"
"CA006158355","TORONTO CITY, ON CA","2002-08-15","0.00",,,"86","71"
"CA006158355","TORONTO CITY, ON CA","2002-08-16","0.03",,,"87","70"
